sg_data_point,time,pressure,depth,temperature,conductivity,salinity,sigma_theta,density,latitude,longitude,buoyancy,speed,glide_angle,horz_speed,vert_speed,polar_heading
282,2023-05-12 20:00:26.989000192,41.026321587082435,40.6791043755603,8.885196548898195,3.191798959647629,29.65496422957408,22.958199381238614,1022.9576029090566,47.72343298518316,-122.3976081588569,214.73992516542015,32.96253447841908,18.792155352760865,31.205412988402255,10.61842170306974,0.9023352232810684
283,2023-05-12 20:00:42.476999936,39.375605998200804,39.042515640608066,8.892087962692155,3.1919481597450314,29.651272217408327,22.95427462378973,1022.9537016771544,47.72346938825453,-122.39757095285228,214.91334088081803,32.4173436233902,18.335079444910708,30.771614195755006,10.197643226969971,0.8779006137531478
284,2023-05-12 20:00:52.476999936,38.308680068801706,37.984713509055716,8.913630965200227,3.1924445534223995,29.639535267595907,22.94190973757543,1022.9413507335457,47.72350567014964,-122.39753460648124,214.4811859010282,31.729038873810723,17.792992454244953,30.211336574141857,9.695723297398223,0.9302604913129776
285,2023-05-12 20:01:02.476999936,37.2417541394026,36.92690590172632,8.961340468527474,3.19348808471012,29.612973123345288,22.91408610827409,1022.9135392260877,47.72353487776071,-122.39750880303684,213.2843694918417,31.251537731475697,17.446265676614267,29.813921539689208,9.369562049909543,1.007054978400728
286,2023-05-12 20:01:12.476999936,36.22515490478648,35.91898978505144,8.982001139408878,3.193984569187233,29.601451765899444,22.902008444181206,1022.9014750544172,47.7235652457546,-122.39748644067225,212.86546088451377,31.17925491822594,17.42118628781826,29.749052730568565,9.334870052098607,1.1222467090323538
287,2023-05-12 20:01:22.476999936,35.11796761956099,34.82125370497479,8.984301733685081,3.1941830220528487,29.600796035046038,22.90113909167576,1022.9006218711265,47.72359706018875,-122.39746862237402,213.0667136207332,31.303765257947322,17.530890014770208,29.849852235602597,9.429318153364033,1.2601277199399057
288,2023-05-12 20:01:32.477999872,34.10136838494487,33.813327201704766,8.994194880602405,3.194381433036689,29.5944832901791,22.894724222700233,1022.8942213557604,47.72363010694762,-122.3974562218352,212.99098860601185,31.40396490286587,17.617138364480418,29.931124601676967,9.5045668864667,1.4102260356114185
289,2023-05-12 20:01:42.476999936,33.044507794502366,32.765477545824496,9.004072350221758,3.1942815944875895,29.58570011167089,22.886378733703168,1022.8858908912293,47.72366393363457,-122.39744980819891,212.81324751814523,31.691160984692818,17.873922887514578,30.161561524547707,9.726761586398608,1.5655603390389135
290,2023-05-12 20:01:51.296000000,32.07823525466922,31.80743887209672,9.008311856316627,3.1943806701657986,29.5830286134521,22.883647702766666,1022.883173890889,47.723696082886335,-122.39744937788291,212.88971139505077,32.28723767541531,18.392065707183356,30.637996323939365,10.187192840181044,1.7156586547104262
291,2023-05-12 20:02:02.476999936,30.830133224051398,30.569965603219607,9.021368543050347,3.1943801557443128,29.573046171486524,22.87388941776146,1022.8734333221952,47.723730261751435,-122.39745461334316,212.9698898247295,32.935726578978056,18.929121179730817,31.154582319990265,10.684291541892305,1.820378409830086
292,2023-05-12 20:02:12.476999936,29.813533989435275,29.562018127781982,9.021270303442746,3.1944302478276088,29.573394253262617,22.874161054199703,1022.8737200274373,47.7237662654837,-122.39746274315638,213.23744366872074,32.81928537506038,18.809249018569812,31.066644487971324,10.581544914975941,1.8483036778619957
293,2023-05-12 20:02:22.476999936,28.776804076905957,28.534106175034157,9.025135229191473,3.194429888383439,29.570557524762805,22.871354744899122,1022.8709288713974,47.72380002159077,-122.39747084355592,213.38461753691635,32.48523523353238,18.498344415212763,30.80681484968186,10.306826232907714,1.8430676901060123
294,2023-05-12 20:02:32.476999936,27.629355435854094,27.39641118790765,9.025708984161078,3.194429531989452,29.570263669271476,22.87102289757331,1022.870614002592,47.72383374274637,-122.39747840709242,213.66846090933026,32.447016393673486,18.441900836809545,30.780697316537765,10.26438237591531,1.8238690683340744
295,2023-05-12 20:02:42.476999936,26.562429506454993,26.338548761213037,9.02670065039341,3.194429196830302,29.569656651030254,22.8703854192986,1022.8699922885614,47.72386763655901,-122.39748510922472,213.91239031706627,32.541869774391685,18.504233946732015,30.859461777275445,10.327967236118784,1.7994344588061542
296,2023-05-12 20:02:52.476999936,25.51563425496908,25.30064067924109,9.03251253314134,3.1944778233346383,29.56599025786185,22.866641258890354,1022.8662633581414,47.72390174034809,-122.39749077730028,214.00117401088923,32.574138676587005,18.51658558984633,30.887832987737344,10.344867512112765,1.7715091907742444
297,2023-05-12 20:03:02.476000000,24.438642986613385,24.23278743752155,9.032337880129697,3.194428488604535,29.56576964899989,22.8664787316485,1022.8661168175947,47.72393596684879,-122.39749541934171,214.25894964994055,32.48597590363624,18.42608612627622,30.82049144782505,10.268200296360469,1.748819910498318
298,2023-05-12 20:03:12.476999936,23.45223976886705,23.254748729904495,9.037681703670561,3.194527544073056,29.562983301231824,22.863492662209296,1022.863145127898,47.72397017001549,-122.3974997251008,214.37378613738346,32.377262490293695,18.31854127111048,30.7365064442201,10.176163224408075,1.755801227506296
299,2023-05-12 20:03:22.476999936,22.36518316155475,22.176904730476522,9.037723587052163,3.194476808973941,29.562540131696586,22.863123854845185,1022.8627924539488,47.72400434564074,-122.39750380517613,214.5924132029883,32.32955362419406,18.279360505765236,30.698156650599724,10.140178292065645,1.7383479349863526
300,2023-05-12 20:03:32.476000000,21.25799587632927,21.07909481087471,9.057641966693074,3.194824935232194,29.550713583169884,22.85090327246394,1022.8505874712283,47.724038545705774,-122.3975070586746,214.16064170067227,32.20993985711219,18.22316429523514,30.594472838327928,10.072658901382452,1.7156586547104262
301,2023-05-12 20:03:42.476000000,20.23133130275655,20.06112034078523,9.114045993291283,3.19591910334162,29.518419546282992,22.817246026145085,1022.8169432491948,47.72407256989809,-122.39751084378175,212.66259322184365,32.054691071793826,18.167458024386555,30.45674207443985,9.994502584880559,1.7662732030182613
302,2023-05-12 20:03:52.476999936,19.083882661704685,18.92337816481885,9.137093231391264,3.196565523251114,29.506040305768867,22.80411293090515,1022.8038264715285,47.72410644485593,-122.39751581939811,212.19387740881513,32.21148727172528,18.373942326858575,30.56932852138288,10.153623294582433,1.7749998492782328
303,2023-05-12 20:03:58.380000000,18.58061571387492,18.42436643924206,9.139229876759334,3.1965149244696716,29.50293819209139,22.801361735553314,1022.8010827767661,47.72413345964488,-122.39751987932699,212.13599943317465,32.46178239886896,18.63064635524743,30.760709350565154,10.370442457367586,1.7697638615222508
304,2023-05-12 20:04:05.737999872,17.63447385195496,17.48622109480165,9.15261401297488,3.19626662949789,29.48908740221524,22.788522350470203,1022.7882571960104,47.724156159815834,-122.39752303642577,211.6084719125382,32.74648569586913,18.946189960928315,30.97240946454539,10.63212948521137,1.7575465567582897
305,2023-05-12 20:04:11.359000064,17.101010887255413,16.957264905205925,9.196527711084837,3.197211417087073,29.465856076862977,22.763784426630764,1022.7635258013865,47.72417846739037,-122.39752579791542,210.41596010950929,32.73025210619943,19.008661750414856,30.945450075615078,10.660606106267457,1.7400932642383464
306,2023-05-12 20:04:15.775000064,16.54741724464267,16.40834665632768,9.236110092517416,3.1982571983274224,29.444680253395198,22.741287193063727,1022.7410356386966,47.72419573761567,-122.3975275046704,209.30523171228322,32.604948824171885,18.97257078041216,30.83366302151557,10.600373224678973,1.7156586547104262
307,2023-05-12 20:04:21.354000128,15.88310487350738,15.749642810406701,9.295311846931588,3.199800221016885,29.415209912021947,22.709336680317847,1022.7090933330819,47.72421293022673,-122.39752839451027,207.76855629698366,32.373305117443614,18.87140896167739,30.63313890869737,10.470992542617553,1.6702800941585731
308,2023-05-12 20:04:25.780000000,15.379837925677617,15.250623331046437,9.31508044461976,3.20054804941136,29.405263556792363,22.698574279409172,1022.6983380345439,47.724230130626005,-122.39752836352794,207.26137515808512,32.215727444334824,18.825657278847928,30.492342379952884,10.395679436737034,1.6144295580947547
309,2023-05-12 20:04:31.357000192,14.785982927238493,14.66177877724164,9.337322761221694,3.200746612959418,29.388796795321685,22.682340097242104,1022.6821123523008,47.724247299050134,-122.39752678499367,206.4932591635865,32.117014586718525,18.884974661051668,30.388164392937902,10.395291760757434,1.5341444125030164
310,2023-05-12 20:04:36.214999808,14.302846657321918,14.182717548862561,9.370684513531762,3.2014454329010595,29.36809278585394,22.6611093426626,1022.6608881035146,47.72426512536903,-122.3975235830152,205.31487777918363,32.02988240137711,18.978811460455045,30.28870305678819,10.416709354866192,1.452113937659282
311,2023-05-12 20:04:43.564000000,13.457358184967914,13.344357695361317,9.531500757282858,3.2048369289625356,29.279532362638097,22.567442652810882,1022.5672301365707,47.72428556071485,-122.39751685791522,200.44635523847464,31.755557767393224,19.079329208669733,30.011126605666323,10.380160354104127,1.3194689145077136
312,2023-05-12 20:04:49.183000064,12.923895220268363,12.815390779052017,9.653211673379312,3.2078319578376355,29.212594395309708,22.4964809961092,1022.496273713352,47.724306899583766,-122.39750818968584,196.63820514063997,31.322469364726768,18.995876979037977,29.616710363466975,10.19546734342054,1.2985249634837819
313,2023-05-12 20:04:53.607000064,12.59173903470072,12.486033327761385,9.743189950660962,3.2094817186176954,29.159789533222213,22.441354188531477,1022.4411499410794,47.72432328283704,-122.39750167931673,193.7112367087273,30.934157983565463,18.889842753708994,29.268129835433644,10.014924167879947,1.34215819478364
314,2023-05-12 20:04:59.183000064,11.917361324608834,11.817336262454628,9.819432557488929,3.211131852102322,29.11411617672227,22.393860597587945,1022.3936654525728,47.72433956725725,-122.39749629852409,191.1882202368983,30.46741894700368,18.75582172147389,28.849521726981923,9.796362254257279,1.3962634015954636
315,2023-05-12 20:05:04.183000064,11.514747766345021,11.418113090154034,9.89176044259692,3.212482157235324,29.07009653130925,22.3482275025151,1022.3480372617305,47.724356748790896,-122.39749157643314,188.77724313827883,30.138888264756524,18.688709517941696,28.549768306949332,9.657293381428872,1.4433872913993104
316,2023-05-12 20:05:09.184999936,11.051742174341639,10.959005477247361,9.957825841029543,3.213333135708077,29.021847250192316,22.300239330130694,1022.3000552963999,47.72437296047044,-122.39748809929915,186.20490912471664,29.905445543951252,18.681815970492526,28.329786931679077,9.579083755135413,1.4957471689591402
317,2023-05-12 20:05:13.602999808,10.749782005643779,10.659586912793193,10.03992720412226,3.2147342201487015,28.978649035147605,22.25362698271772,1022.2534461388656,47.724388188814316,-122.39748577895158,183.89446806655425,29.68396812261437,18.648258722432317,28.125542664095647,9.491670735677761,1.5533430342749532
318,2023-05-12 20:05:19.183000064,10.2767110746838,10.190496945883984,10.050319055518436,3.215435741294848,28.97161944602871,22.246498593166166,1022.2463254965871,47.72440424099846,-122.3974843130473,183.55514351423545,29.331205405663635,18.534661720124625,27.809840502510138,9.323753631139034,1.593485607070823
319,2023-05-12 20:05:24.180000000,9.82377082163701,9.74136724449107,10.061205323244854,3.2158370174407587,28.956625204246663,22.23308464064121,1022.2329189967508,47.72442105779004,-122.39748339625191,182.75903854102717,28.869309029215295,18.32304959983351,27.405608627287254,9.075771019163614,1.6249015336067212
320,2023-05-12 20:05:29.180999936,9.390961246503414,9.312197940297812,10.174264555741631,3.214582256600536,28.865142901425944,22.143861855150703,1022.1437014275868,47.72443670901864,-122.39748332005082,178.1306217050263,28.287793309317816,18.032195279497962,26.898373994585622,8.756524810567583,1.6807520696705396
321,2023-05-12 20:05:33.601999872,8.88769429867365,8.813162731571294,10.223964568930654,3.2148819273856866,28.821993560016402,22.10232115246629,1022.1021684678124,47.724451228328896,-122.3974838040206,175.7432521202895,27.773965326631625,17.762644931122168,26.44993857790545,8.473128064060221,1.6947147036864945
322,2023-05-12 20:05:39.183000064,8.495146079366432,8.42391442221481,10.30604037191245,3.2130774893073126,28.74180540063185,22.026737334076756,1022.0265900727097,47.7244664521667,-122.39748370214701,171.68029378488222,27.244327601261265,17.450787529019742,25.990404182375222,8.17020666088802,1.6214108751027327
323,2023-05-12 20:05:44.412000000,7.981813792580072,7.914896282805711,10.358814376693722,3.212425634509523,28.698150613915104,21.98426635277781,1021.9841271612775,47.72448280498121,-122.39748221084056,169.46066603343988,27.022120072170182,17.248678086736405,25.80684848161458,8.01258663864359,1.5376350710070048
